,Source,OBSRA,OBSDEC,7MTM2TM1_contNAXIS,7MTM2TM1_contCDELT,7MTM2TM1_contPEAK,7MTM2TM1_contAGMADRES,7MTM2TM1_contAGSTDRES,7MTM2TM1_contAGMADREM,7MTM2TM1_contAGSTDREM,7MTM2TM1_contAGMADIMM,7MTM2TM1_contAGSTDIMM,7MTM2TM1_contBMAJ,7MTM2TM1_contBMIN,7MTM2TM1_contBPA,7MTM2TM1_spw0PEAK,7MTM2TM1_spw0AGMADRESch0200,7MTM2TM1_spw0AGSTDRESch0200,7MTM2TM1_spw0AGMADRESch1000,7MTM2TM1_spw0AGSTDRESch1000,7MTM2TM1_spw0AGMADRESch2000,7MTM2TM1_spw0AGSTDRESch2000,7MTM2TM1_spw0AGMADRESch2800,7MTM2TM1_spw0AGSTDRESch2800,7MTM2TM1_spw0BMAJ,7MTM2TM1_spw0BMIN,7MTM2TM1_spw0BPA,7MTM2TM1_spw1PEAK,7MTM2TM1_spw1AGMADRESch0200,7MTM2TM1_spw1AGSTDRESch0200,7MTM2TM1_spw1AGMADRESch1000,7MTM2TM1_spw1AGSTDRESch1000,7MTM2TM1_spw1AGMADRESch2000,7MTM2TM1_spw1AGSTDRESch2000,7MTM2TM1_spw1AGMADRESch2800,7MTM2TM1_spw1AGSTDRESch2800,7MTM2TM1_spw1BMAJ,7MTM2TM1_spw1BMIN,7MTM2TM1_spw1BPA,7MTM2TM1_spw2PEAK,7MTM2TM1_spw2AGMADRESch0200,7MTM2TM1_spw2AGSTDRESch0200,7MTM2TM1_spw2AGMADRESch1000,7MTM2TM1_spw2AGSTDRESch1000,7MTM2TM1_spw2AGMADRESch2000,7MTM2TM1_spw2AGSTDRESch2000,7MTM2TM1_spw2AGMADRESch2800,7MTM2TM1_spw2AGSTDRESch2800,7MTM2TM1_spw2BMAJ,7MTM2TM1_spw2BMIN,7MTM2TM1_spw2BPA,7MTM2TM1_spw3PEAK,7MTM2TM1_spw3AGMADRESch0200,7MTM2TM1_spw3AGSTDRESch0200,7MTM2TM1_spw3AGMADRESch1000,7MTM2TM1_spw3AGSTDRESch1000,7MTM2TM1_spw3AGMADRESch2000,7MTM2TM1_spw3AGSTDRESch2000,7MTM2TM1_spw3AGMADRESch2800,7MTM2TM1_spw3AGSTDRESch2800,7MTM2TM1_spw3BMAJ,7MTM2TM1_spw3BMIN,7MTM2TM1_spw3BPA
10,631754,151.2336666667,-56.77785,551,0.066999999999996,0.018347502,8.357147453353e-05,0.0001184431093861,7.700533024035e-05,0.0001109939184971,9.784653957468e-05,0.0001389046665281,0.4564919173716,0.404459387064,-15.12253856659,0.08222978,0.0016724889,0.002422055,0.001796517,0.0026052734,0.0016998366,0.002452275,0.0019557478,0.0028826648,0.447816491127,0.38553470373168,-17.64428138733,0.1838165,0.0020003314,0.0029298712,0.00183785,0.002724568,0.0017178014,0.0024687203,0.0016123585,0.0023451427,0.44211402535428,0.38326185941688,-22.84115219116,0.10219928,0.0034471632,0.00500105,0.0034203203,0.004986334,0.0033036538,0.004775646,0.0034614154,0.005081118,0.4414478838444,0.38403177261336,-23.13195800781,0.28269017,0.0038893693,0.005675599,0.003779567,0.005520362,0.003748725,0.0055436036,0.0034103293,0.00497126,0.44081395864488,0.38162416219704,-22.54955482483
11,637550,154.3215,-57.44198055556,687,0.052999999999992,0.00035113853,4.253013685229e-05,6.128403038019e-05,4.184040153632e-05,6.019277498126e-05,4.49935796496e-05,6.585370283574e-05,0.40090015530576,0.317525923252116,-26.39970779419,0.023381017,0.0018026503,0.0026666527,0.0017004757,0.0024785188,0.0017343479,0.0025286519,0.0018888601,0.0028012244,0.44876688718788,0.37601312994972,-20.9524269104,0.20310026,0.0017843727,0.0025692966,0.0016072844,0.0023404607,0.0014865067,0.002150455,0.0014884287,0.002168538,0.4429527819156001,0.37452822923664,-22.42612075806,0.041718073,0.0033473545,0.0048836167,0.003144672,0.004557843,0.0034614317,0.00505981,0.0033933034,0.0049426192,0.44421601295484,0.37659913301484,-23.16383552551,0.27476707,0.004135499,0.0061007403,0.0036670663,0.005362087,0.0034974096,0.0050974768,0.0037016736,0.0054965178,0.44040262699116,0.37288606166856,-23.91139030457
12,G282.2988-00.7769,152.5013333333,-57.03536111111,629,0.057999999999996,0.014347475,5.041547410656e-05,7.306772022275e-05,4.972890019417e-05,7.19440067769e-05,5.247409717413e-05,7.747423660476e-05,0.40927320718776,0.344588160514824,-10.7998046875,0.05067329,0.0016886799,0.002435532,0.0019106388,0.0027862836,0.0019087319,0.0027961333,0.0019272598,0.0028061126,0.46079152822512,0.39501595497132,-2.98974609375,0.19908074,0.0021488066,0.0031340206,0.0018610832,0.0027134253,0.0017948932,0.0026244214,0.0018684586,0.0027560047,0.45593211054816,0.39520430564868,-5.457641601562,0.06463285,0.0040771123,0.0060403976,0.0037286181,0.00543635,0.0037963712,0.005548044,0.0039183795,0.005725912,0.45289888977996,0.39687809348124,-6.718383789062,0.21715808,0.0043064426,0.006264443,0.00404457,0.0059158397,0.0038386756,0.005606983,0.0037385116,0.0054544364,0.448667317629,0.3939232826232,-6.336181640625
13,646022,158.375625,-58.92273333333,597,0.060999999999984,0.00054443197,4.577852814691e-05,6.664236570941e-05,4.54573200841e-05,6.598579784622e-05,4.624795110431e-05,6.808764737798e-05,0.4033770859242,0.351067632436764,4.705810546875,0.02044243,0.0020696037,0.0029989725,0.0022631756,0.003347505,0.002192822,0.0031908702,0.0022390038,0.0033101004,0.4569414258002399,0.40546181797992,9.506958007812,0.03405005,0.0025031017,0.0036505118,0.0022158604,0.0032684177,0.0019349202,0.0027952348,0.0019614925,0.0028440473,0.4571448564528,0.40525862574564,9.339111328125,0.039365403,0.004117585,0.006018047,0.004258677,0.006300171,0.0041982615,0.0061350185,0.004290137,0.0063704164,0.4570418894292,0.40546739101392,9.605606079102,0.061935693,0.004618795,0.006764499,0.004308979,0.006279791,0.004183665,0.006119759,0.0040656785,0.006025551,0.4525754749776,0.40412542223916,7.92041015625
14,647452,159.40775,-58.78400277778,599,0.060999999999984,0.004119121,4.963410174241e-05,7.058235496515e-05,4.874853766523e-05,6.941524043214e-05,5.162529123481e-05,7.487162656616e-05,0.39940562844288,0.349044442176816,2.454772949219,0.051209025,0.001964888,0.0028902325,0.0020505786,0.0030215082,0.0020319459,0.0030164435,0.0021198723,0.0031189106,0.4562190771102,0.40705633163448,7.109710693359,0.09446271,0.0024769874,0.003643884,0.00196303,0.0028647557,0.00194662,0.0027929577,0.0018315323,0.0026447028,0.45562967658036,0.4052543342112,5.78125,0.06643126,0.004043266,0.0058377027,0.004102444,0.0060697524,0.0041174586,0.006057211,0.003971298,0.005730275,0.45578792691216,0.4067791700364,6.417663574219,0.1568371,0.0046824566,0.0069183833,0.0045343745,0.0065795025,0.004228817,0.006120982,0.004133184,0.0060312636,0.4529889822006,0.40263617038716,5.323181152344
15,651544,160.6942083333,-59.44038611111,597,0.060999999999984,0.012811061,7.246592576848e-05,0.0001035076566041,7.001941412454e-05,0.0001001862619887,7.672279753024e-05,0.000111028442916,0.40751138329488,0.35214525461196,1.476867675781,0.05267055,0.0020639866,0.0029613501,0.0021216574,0.0030802137,0.0021189917,0.0030849327,0.002183266,0.0032045785,0.45896258950236,0.40698054432864,4.7119140625,0.045849454,0.00254611,0.003772853,0.0021387155,0.003155247,0.0020166256,0.00294721,0.0020719166,0.0029713118,0.45800656080228,0.40509265661244,5.977172851562,0.07709582,0.0039695664,0.005836269,0.0039155562,0.005774458,0.0039220587,0.0057707224,0.003971616,0.0058229845,0.45865580439564,0.4067503511904,5.6044921875,0.069737054,0.0046536936,0.00676676,0.004522084,0.006521881,0.0042748097,0.0062068608,0.0042053834,0.006137922,0.45456492900852,0.40413355827336,2.936401367188
16,653755,161.263625,-59.68437222222,601,0.060999999999984,10.510875,0.003463459433988,0.004908559378237,0.003394813043997,0.004812473896891,0.003684366587549,0.005747858434916,0.41976755857476,0.36522901058184,2.672088623047,0.42914996,0.0030084117,0.0044711186,0.002968194,0.0043315585,0.0027229793,0.004049099,0.0025500879,0.0037164188,0.46107587218284,0.40633463859552,3.591247558594,0.3781574,0.0031485932,0.0045957607,0.0026778593,0.003935126,0.0024109033,0.003572595,0.0023192875,0.0034115054,0.45882597565656,0.40537559986128,1.9208984375,0.0988546,0.0044613774,0.0066051916,0.004336583,0.00643946,0.004451874,0.006596322,0.004314077,0.006251408,0.4594843387602,0.40786060690872,3.892018318176,0.14556435,0.004984493,0.0074423,0.004553763,0.006655347,0.004375072,0.006308106,0.0044213533,0.0065426272,0.457450002432,0.40354818105708,3.526733398438
17,654025,161.2865416667,-59.80639722222,599,0.060999999999984,0.009424357,5.555581810768e-05,7.949771679705e-05,5.424763367046e-05,7.788981019985e-05,5.848808359588e-05,8.518275717506e-05,0.40931078791608,0.352518230676636,1.148345947266,0.051106617,0.00199983,0.0029913122,0.0020494794,0.0029915653,0.0020819467,0.0030718765,0.0021209884,0.0030952676,0.46229043602952,0.4074065983296,3.227783203125,0.07613172,0.0024167015,0.0035660323,0.0019977062,0.0029351683,0.0018967451,0.0027693072,0.0019275058,0.002846361,0.46091771125776,0.40555781126028,4.692733764648,0.07030424,0.0038986672,0.0057072677,0.003909447,0.0057449904,0.0039237486,0.0058101336,0.0039882283,0.0058828085,0.46010681986824,0.4079335331916,3.650817871094,0.10125,0.004780211,0.0070856884,0.004468908,0.006482139,0.0043574865,0.0064265877,0.0040565114,0.0058962423,0.45858934521684,0.40376389026636,3.198547363281
18,659209,163.5370416666,-60.79275277778,597,0.060999999999984,0.0005785285,4.802555122296e-05,7.016368181212e-05,4.765735866386e-05,6.950619717827e-05,4.868561518379e-05,7.178546366049e-05,0.40558505058288,0.344887107610716,-2.50032043457,0.02746768,0.0022160953,0.0032418221,0.0022213338,0.003272211,0.0022284377,0.0032284553,0.0022033246,0.003247989,0.46986889839156,0.41177004575724,2.010009765625,0.16447714,0.0025719523,0.003750467,0.0021361616,0.00311492,0.0020822077,0.0030670895,0.0020116172,0.0029066585,0.4674233794212,0.40941300988188,0.2457885742188,0.32339597,0.0039185425,0.005643282,0.004053613,0.0058757816,0.004113108,0.006147606,0.0040512024,0.0058429474,0.4687244296074,0.41029608249648,0.9969482421875,0.23382458,0.0049091303,0.007282812,0.0047178967,0.0069547333,0.0042683743,0.0061727595,0.004367601,0.0064254766,0.46237695217128,0.40545535087584,-1.049743652344
19,666100,167.8920416666,-61.35399444445,601,0.060999999999984,0.010801926,9.053730900632e-05,0.0001281739678234,8.561838330934e-05,0.0001224872248713,0.0001017869653879,0.0001444340887247,0.41568303108204,0.349913269281384,-9.36381816864,0.12685299,0.0020909214,0.0030310208,0.0022477366,0.003346329,0.0021630242,0.0031103382,0.0022516523,0.0033572842,0.4709972441196,0.409337580204,-7.698943138123,0.107489206,0.0024792932,0.0036190825,0.002171656,0.0031959654,0.0020839784,0.0030766495,0.0020841311,0.0030785615,0.46988278627392,0.40705385804172,-7.106729507446,0.34115028,0.004148855,0.0060306704,0.0042891996,0.0062718643,0.0041193105,0.005992208,0.004276162,0.006356309,0.4722948968410801,0.41240087151516,-5.78125,0.14329408,0.0045988853,0.006703546,0.004491626,0.0066045905,0.00418291,0.006003774,0.0040526874,0.0059232237,0.46790075302128,0.406580120325,-7.998191833496
