,Source,TM1_i0_n_BMAJ,TM1_i0_n_BMIN,TM1_i0_n_BPA,TM1_i0_n_PEAK,TM1_i0_n_RMSSTD,TM1_i0_n_RMSMAD,TM1_i0_n_SNRSTD,TM1_i0_n_SNRMAD,TM1_i1_n_BMAJ,TM1_i1_n_BMIN,TM1_i1_n_BPA,TM1_i1_n_PEAK,TM1_i1_n_RMSSTD,TM1_i1_n_RMSMAD,TM1_i1_n_SNRSTD,TM1_i1_n_SNRMAD,TM1_i1_y_BMAJ,TM1_i1_y_BMIN,TM1_i1_y_BPA,TM1_i1_y_PEAK,TM1_i1_y_RMSSTD,TM1_i1_y_RMSMAD,TM1_i1_y_SNRSTD,TM1_i1_y_SNRMAD,TM1_i2_n_BMAJ,TM1_i2_n_BMIN,TM1_i2_n_BPA,TM1_i2_n_PEAK,TM1_i2_n_RMSSTD,TM1_i2_n_RMSMAD,TM1_i2_n_SNRSTD,TM1_i2_n_SNRMAD,TM1_i2_y_BMAJ,TM1_i2_y_BMIN,TM1_i2_y_BPA,TM1_i2_y_PEAK,TM1_i2_y_RMSSTD,TM1_i2_y_RMSMAD,TM1_i2_y_SNRSTD,TM1_i2_y_SNRMAD,TM1_i3_n_BMAJ,TM1_i3_n_BMIN,TM1_i3_n_BPA,TM1_i3_n_PEAK,TM1_i3_n_RMSSTD,TM1_i3_n_RMSMAD,TM1_i3_n_SNRSTD,TM1_i3_n_SNRMAD,TM1_i3_y_BMAJ,TM1_i3_y_BMIN,TM1_i3_y_BPA,TM1_i3_y_PEAK,TM1_i3_y_RMSSTD,TM1_i3_y_RMSMAD,TM1_i3_y_SNRSTD,TM1_i3_y_SNRMAD,TM1_i4_n_BMAJ,TM1_i4_n_BMIN,TM1_i4_n_BPA,TM1_i4_n_PEAK,TM1_i4_n_RMSSTD,TM1_i4_n_RMSMAD,TM1_i4_n_SNRSTD,TM1_i4_n_SNRMAD,TM1_i4_y_BMAJ,TM1_i4_y_BMIN,TM1_i4_y_BPA,TM1_i4_y_PEAK,TM1_i4_y_RMSSTD,TM1_i4_y_RMSMAD,TM1_i4_y_SNRSTD,TM1_i4_y_SNRMAD
290,800114,0.34174486994742,0.27677735686303195,27.71014022827,0.0010457264,8.862423e-05,6.0106824e-05,11.799554,17.397797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,800202,0.340666592121108,0.27788966894149203,30.10203361511,0.0043752096,0.00011167244,7.568978e-05,39.178955,57.804497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,800751,0.343126833438888,0.276650249958036,27.73569297791,0.032694753,0.00023391507,0.00015690378,139.7719,208.37454,0.343126833438888,0.343126833438888,27.73569297791,0.032627646,0.00021825322,0.0001492154,149.49446,218.66139,0.37821784615524,0.37821784615524,15.41411590576,0.035002794,0.00022454382,0.00015328056,155.88402,228.35768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,800891,0.34037837386131603,0.279183655977264,30.46482467651,0.0072367755,0.000159175,0.000107797976,45.46427,67.13276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,800967,0.34076610207558,0.27602434158325195,28.58095932007,0.0013474526,8.726606e-05,5.89669e-05,15.440741,22.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,801000,0.341518193483364,0.27594470977783203,29.33267021179,0.00072183274,8.856439e-05,5.9830578e-05,8.1503725,12.064612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,801089,0.34063959121703996,0.27560448646545604,29.88675308228,0.0004425868,8.8606525e-05,5.952441e-05,4.9949684,7.4353833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,801282,0.34267687797546004,0.279462188482272,27.66374588013,0.010417814,0.00018016165,0.00012285063,57.824818,84.80066,0.34267687797546004,0.34267687797546004,27.66374588013,0.0104139345,0.00017808395,0.00012166749,58.47767,85.59341,0.6073900461198,0.6073900461198,-60.4615020752,0.016459564,0.00032778145,0.00022279103,50.215054,73.87894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,801644,0.341401606798176,0.274124205112464,29.02238464355,0.00050572876,8.717493e-05,5.8659483e-05,5.8013096,8.621432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,802291,0.340220153331756,0.277338773012148,30.48754119873,0.015835179,0.00014231002,9.697915e-05,111.272415,163.28436,0.340220153331756,0.340220153331756,30.48754119873,0.01581202,0.00013567251,9.3265364e-05,116.5455,169.53798,0.39365956187244,0.39365956187244,33.68297576904,0.016468052,0.00015933285,0.00011034648,103.356285,149.23949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
