,Source,OBSRA,OBSDEC,7M_contNAXIS,7M_contCDELT,7M_contPEAK,7M_contAGMADRES,7M_contAGSTDRES,7M_contAGMADREM,7M_contAGSTDREM,7M_contAGMADIMM,7M_contAGSTDIMM,7M_contBMAJ,7M_contBMIN,7M_contBPA,7M_spw0PEAK,7M_spw0AGMADRESch0200,7M_spw0AGSTDRESch0200,7M_spw0AGMADRESch1000,7M_spw0AGSTDRESch1000,7M_spw0AGMADRESch2000,7M_spw0AGSTDRESch2000,7M_spw0AGMADRESch2800,7M_spw0AGSTDRESch2800,7M_spw0BMAJ,7M_spw0BMIN,7M_spw0BPA,7M_spw1PEAK,7M_spw1AGMADRESch0200,7M_spw1AGSTDRESch0200,7M_spw1AGMADRESch1000,7M_spw1AGSTDRESch1000,7M_spw1AGMADRESch2000,7M_spw1AGSTDRESch2000,7M_spw1AGMADRESch2800,7M_spw1AGSTDRESch2800,7M_spw1BMAJ,7M_spw1BMIN,7M_spw1BPA,7M_spw2PEAK,7M_spw2AGMADRESch0200,7M_spw2AGSTDRESch0200,7M_spw2AGMADRESch1000,7M_spw2AGSTDRESch1000,7M_spw2AGMADRESch2000,7M_spw2AGSTDRESch2000,7M_spw2AGMADRESch2800,7M_spw2AGSTDRESch2800,7M_spw2BMAJ,7M_spw2BMIN,7M_spw2BPA,7M_spw3PEAK,7M_spw3AGMADRESch0200,7M_spw3AGSTDRESch0200,7M_spw3AGMADRESch1000,7M_spw3AGSTDRESch1000,7M_spw3AGMADRESch2000,7M_spw3AGSTDRESch2000,7M_spw3AGMADRESch2800,7M_spw3AGSTDRESch2800,7M_spw3BMAJ,7M_spw3BMIN,7M_spw3BPA
609,103357,278.4674166667,-8.634441666667,89.0,0.87000000000012,0.012716729,0.0007138770306483,0.000843345769681,0.0006661725929007,0.000804157636594,0.001000243006274,0.001522189122625,7.403995513915199,4.455286502839201,-83.77144622803,0.556097,0.040233582,0.058861632,0.0339313,0.05192531,0.041173212,0.062028542,0.04131449,0.061992258,7.4014701843276,4.5938091278088,-83.04329681396,1.7010837,0.044308923,0.06648561,0.03813398,0.055833634,0.04118923,0.060286347,0.03842921,0.055060018,7.3164896965044,4.550431728362399,-83.81969451904,0.77035743,0.08751753,0.12573189,0.06942293,0.10289822,0.07677339,0.1160633,0.078658946,0.11909839,7.4215950965892,4.5819215774532,-83.17764282227,2.3354583,0.09327529,0.14031368,0.09179625,0.12982781,0.082508504,0.11794534,0.082078725,0.123312704,7.315251350403599,4.5390181541436,-84.04040527344
610,103459,278.651625,-8.707963888889,89.0,0.87000000000012,0.06092938,0.00173468713183,0.002096773125231,0.001543887425214,0.001937689376064,0.002349526388571,0.003452199976891,7.403183937072,4.455034732818,-83.82843780518,1.1984966,0.040597733,0.05742479,0.043426923,0.062741034,0.038894374,0.057815704,0.039430495,0.056269277,7.404570579528,4.5961771011336,-83.10861206055,7.4161572,0.048723213,0.0673683,0.042576034,0.07040254,0.037170958,0.053573918,0.034480367,0.050038997,7.3214235305784,4.544506549836,-83.75268554688,1.5958824,0.07309683,0.102802426,0.07319957,0.11090735,0.080434225,0.11318053,0.073931225,0.10358426,7.4207553863508,4.5981945991512,-82.78823852539,11.072272,0.080590226,0.13454023,0.079060644,0.11444109,0.08149164,0.12883395,0.07608188,0.11673182,7.317057609558001,4.5391154289228,-83.98737335205
611,103575,278.4967916667,-8.599322222222,89.0,0.87000000000012,0.00904361,0.0005493707722053,0.0006926762289368,0.0004979615914635,0.0006374414078891,0.0007690003840253,0.001114776590839,7.417694568632401,4.4580903053292005,-83.68476104736,0.40791336,0.041816868,0.059198897,0.047892086,0.071523696,0.04658597,0.06597714,0.038016357,0.058528595,7.4104113578796005,4.5870566368104,-83.1116027832,2.2732313,0.04460816,0.06748553,0.039221704,0.06298124,0.033931904,0.051319167,0.07350225,0.101142526,7.339561462404,4.53313779831,-83.43639373779,0.6330353,0.08597876,0.1240866,0.0858022,0.12754469,0.08410787,0.11558427,0.07126042,0.10337999,7.417429447172401,4.5693407058732,-82.94609069824,3.0866768,0.09122604,0.13239647,0.08079378,0.12210111,0.09499928,0.1287313,0.08277211,0.1269593,7.2747206687916,4.5429482460024,-83.86548614502
612,103708,278.5005,-8.572836111111,89.0,0.87000000000012,0.008215379,0.0005062808049843,0.0006038289284334,0.0004770101513714,0.0005814788746648,0.0008403354440816,0.001226770342328,7.4020495414716,4.46671962738,-83.61753845215,0.3137586,0.038280174,0.05314636,0.041242328,0.06271063,0.04333468,0.059970573,0.034706436,0.05489171,7.3944926261892,4.574769020082,-83.23979949951,1.5562412,0.045619443,0.06918675,0.04059183,0.059147343,0.03802395,0.05580112,0.14925529,0.24075519,7.356561183928799,4.53497362137,-84.22326660156,0.65742683,0.0822571,0.122108296,0.088959806,0.12654917,0.08255885,0.12054877,0.077826805,0.11029214,7.4323911666888005,4.5549621582048,-83.16603088379,2.3914573,0.09580909,0.13918045,0.09006429,0.1347187,0.07791841,0.11520346,0.08041933,0.11925203,7.2296900749224,4.5463671684252,-84.03102111816
613,103916,278.7246666667,-8.639463888889,89.0,0.87000000000012,0.0733171,0.0008114661322907,0.0009560055332258,0.0007101034279913,0.0008849540026858,0.001088176155463,0.001881141564809,7.418777465818801,4.4546794891344,-83.79010772705,0.7472179,0.04311594,0.06364226,0.04692158,0.06555164,0.044237014,0.066720426,0.038663074,0.054712385,7.4055366516096,4.5902915000928,-83.10678100586,2.380364,0.04894398,0.06933736,0.042023316,0.06185118,0.04237793,0.059815925,0.08225402,0.13380346,7.308072566985601,4.5573263168328,-83.70281982422,0.9523991,0.09109393,0.12760893,0.07039717,0.10593235,0.074955,0.11106895,0.084762976,0.121450394,7.416867256163999,4.5714597702012,-83.07507324219,3.3488865,0.09595282,0.13694641,0.09440737,0.13118386,0.08758289,0.1247086,0.07041648,0.107677504,7.3003034591676,4.545536518098,-83.69401550293
614,104080,278.0671666667,-8.274344444445,89.0,0.87000000000012,0.023789043,0.000910356931854,0.001105710514821,0.0007976680062711,0.001046784920618,0.0009610726265237,0.00167164253071,7.4208922386156,4.4548439979564,-83.63001251221,0.6852752,0.039462093,0.058796246,0.03770205,0.056279104,0.033875242,0.05253709,0.042812277,0.06341446,7.391825675963999,4.5524034500112,-83.74007415771,6.367639,0.051047895,0.0706224,0.043624684,0.062239397,0.036587168,0.056689564,0.033065908,0.049971893,7.3480348587024,4.5323643684384,-84.29988098145,0.7980312,0.07909104,0.12094312,0.084324785,0.12333345,0.069054194,0.10241667,0.08221092,0.11545056,7.3583383560192,4.5725331306456,-83.96920013428,9.765246,0.081663445,0.119716406,0.089699686,0.13496736,0.07839698,0.12320917,0.08918639,0.12888077,7.3109173774716,4.4853510856644006,-83.54425811768
615,104173,278.0806666667,-8.262783333334,89.0,0.87000000000012,0.025794733,0.0006830499041826,0.0008475859067403,0.000643893785309,0.0008147866465151,0.0009546469664201,0.001406487077475,7.4208130836479995,4.4523816108696,-83.60250854492,1.2922121,0.03898275,0.054969735,0.040999636,0.0648949,0.039275743,0.05913388,0.038231175,0.062143657,7.3812384605412,4.5613379478456,-84.25351715088,1.807946,0.042234685,0.06727967,0.04149777,0.062796816,0.035838638,0.05820351,0.03714127,0.0545237,7.3401985168452,4.5405735969528,-84.09718322754,1.7096717,0.07828465,0.114415914,0.08343809,0.12130379,0.08108275,0.12045839,0.08100849,0.12791945,7.3663444519056,4.57572746277,-84.20645904541,3.2943594,0.08086816,0.119299494,0.103166126,0.14215367,0.08908089,0.12141735,0.07908224,0.12429321,7.298759937286801,4.4828248023972,-83.70606231689
616,104316,278.662625,-8.526269444445,89.0,0.87000000000012,0.29898366,0.002867445116863,0.003748398972675,0.002601561602205,0.003446389222518,0.00263154366985,0.003578911535442,7.418268203734801,4.4430460929864,-83.72368621826,5.573095,0.16505015,0.33170238,0.039350655,0.05782536,0.041122846,0.058518246,0.03982718,0.06128194,7.381559848784399,4.5899152755732,-83.45584869385,8.630418,0.043083046,0.06613166,0.047961134,0.077093154,0.083417,0.18979058,0.2184063,0.482769,7.326565265656801,4.5305624008188,-84.00983428955,5.8426056,0.07918513,0.11504487,0.06961025,0.10904264,0.07798861,0.12061493,0.07803355,0.11714546,7.4013924598704,4.5804605484024,-83.22652435303,9.298264,0.093687214,0.14063898,0.0866524,0.13492094,0.09833606,0.13980141,0.07761979,0.12215227,7.253526210786,4.5184035301200005,-83.93598937988
617,104344,278.1114583333,-8.239025,89.0,0.87000000000012,0.005130561,0.0009092681575567,0.001372388796881,0.0008934068027884,0.001289815059863,0.0008934068027884,0.001289815059863,7.4269461631788,4.4707460403456,-83.6375579834,0.38919014,0.037959743,0.05698535,0.04529101,0.06326855,0.042948965,0.061384022,0.04102005,0.05852047,7.3706231117232,4.5758595466620005,-84.28107452393,5.623252,0.048327006,0.073158234,0.045812245,0.06712124,0.033485476,0.052999534,0.033788156,0.052447416,7.3538331985476,4.5384583473216,-84.36307525635,0.6271356,0.08012544,0.11799699,0.07991475,0.11805086,0.090772435,0.1315504,0.07498661,0.11038744,7.380406379699999,4.5788846015916,-84.08304595947,8.367461,0.09328913,0.14091854,0.074082896,0.117274866,0.08928246,0.12836884,0.07957723,0.11521108,7.318218231201601,4.4852070808404,-83.96943664551
618,104431,278.4494166667,-8.395319444445,89.0,0.87000000000012,0.06694082,0.00109100039117,0.001372625702061,0.0009582083439454,0.001254264381714,0.001175751560368,0.001689289929345,7.4307122230536,4.4571208953851995,-83.71951293945,0.9073605,0.045278497,0.06422505,0.044782676,0.06510733,0.04058702,0.058807705,0.04031391,0.060009282,7.386957645415199,4.5563406944292,-83.65857696533,5.671506,0.047702696,0.07000948,0.039350323,0.06199471,0.04105486,0.060580455,0.035978958,0.051284753,7.3627490997324,4.5237350463876,-84.29531860352,1.1363251,0.07222497,0.109453015,0.07629049,0.10845351,0.07316957,0.11318834,0.07396904,0.11227118,7.3763651847852,4.5607862472552,-83.88249206543,8.216811,0.09063382,0.13357754,0.09168898,0.13486601,0.08922435,0.12733199,0.07312488,0.10862461,7.3053536415084,4.486652851104,-83.80503845215
619,104579,278.43275,-8.355922222222,89.0,0.87000000000012,0.19123575,0.001193360658363,0.001417235704139,0.0009489979711361,0.001243583741598,0.001310633844696,0.001753429649398,7.4441714286816,4.4598422050488,-83.75768280029,4.17615,0.0391055,0.059227526,0.04250073,0.061657395,0.046090193,0.06980012,0.04078478,0.057938624,7.386929988861601,4.5614733696,-84.32566070557,3.3654532,0.049770497,0.07339939,0.0824123,0.15749553,0.039454993,0.055195946,0.045212187,0.069492646,7.3656911849975994,4.531903743744,-84.29250335693,4.4893227,0.080396496,0.11640297,0.0871968,0.13380197,0.08361849,0.11771987,0.07606055,0.1204346,7.3790431022628,4.5763974189756,-84.1441116333,4.6663656,0.10550637,0.15131299,0.08954661,0.12941131,0.078697555,0.11772104,0.07309568,0.10779717,7.2896957397468,4.4919700622568,-83.72727203369
620,104846,278.5968333333,-8.382525,89.0,0.87000000000012,0.010005344,0.0006441111909226,0.0008077687234618,0.0006156071322039,0.0007835208089091,0.001011262647808,0.001542349811643,7.4318952560436005,4.4548082351676,-83.667137146,0.68771625,0.039482594,0.056914337,0.04397931,0.06232542,0.041803725,0.061253667,0.03945504,0.058126356,7.3867034912111995,4.556517601014,-83.68313598633,12.290738,0.051311776,0.07552978,0.042786554,0.06515091,0.052903194,0.08224793,0.27192324,0.4579553,7.3521761894244,4.5349640846243995,-84.19139099121,1.1378022,0.08649047,0.12774315,0.07460817,0.11146423,0.081267156,0.115076385,0.087842874,0.12190154,7.3636870384224,4.574280261992399,-84.12107849121,14.040071,0.09114729,0.1337821,0.09651834,0.13604122,0.09009865,0.13087931,0.07716006,0.11979555,7.2977747917175995,4.492517948150399,-83.65054321289
621,105009,278.121125,-8.106336111111,89.0,0.8799999999998399,0.005049319,0.0008889511227608,0.001305080368184,0.0008826814009808,0.001259345794097,0.0008826814009808,0.001259345794097,7.2844452857988005,4.4984807968139995,-83.63027191162,0.30829734,0.040114187,0.06456582,0.042497616,0.063025594,0.039409563,0.056056608,0.03281432,0.052389715,7.4073328971876,4.5973386764532,-83.9476852417,1.9215845,0.05595452,0.07793878,0.037892696,0.0591535,0.036840048,0.057206474,0.06451181,0.09824575,7.4546074867248,4.5113596916184,-85.46020507812,0.6077114,0.07741868,0.11408431,0.08114885,0.1162597,0.07649571,0.11017704,0.08550637,0.123722926,7.4096703529344,4.5661797523512,-82.96192169189,2.7942731,0.0910165,0.13449554,0.07393629,0.11641733,0.07893478,0.118424796,0.087252885,0.13213708,7.4305977821352,4.496512413024,-84.55318450928
622,105028,278.54675,-8.318752777778,89.0,0.87000000000012,0.18448451,0.0007060203934088,0.0008558557019569,0.0006248175632209,0.0007966188131832,0.001335922861472,0.001883411197923,7.452517032622801,4.478250980376,-83.70074462891,4.756384,0.04143122,0.05934491,0.047338124,0.065380394,0.043158814,0.061803706,0.034233898,0.051543515,7.404989242554,4.5626463890064,-84.1276550293,7.45869,0.05653273,0.0788207,0.039619796,0.058610864,0.039217934,0.064787656,0.042641424,0.06717015,7.3691668510451995,4.5326614379868,-84.35506439209,5.037096,0.082061745,0.116426416,0.08097987,0.121457584,0.07761175,0.113839634,0.07871387,0.11724925,7.384382247924,4.5760340690604,-84.14292144775,9.270173,0.09183853,0.139226,0.07959503,0.12115513,0.074794136,0.11290122,0.07649523,0.1116295,7.3101592063908,4.4997992515548,-83.70339202881
623,105388,278.421125,-8.166036111111,89.0,0.8799999999998399,0.0140707325,0.0009817839600146,0.001931821811013,0.0009416276006959,0.001487361383624,0.0009416276006959,0.001487361383624,7.280721187592399,4.4904327392592,-83.77369689941,0.8746226,0.038524,0.056811854,0.038837545,0.06152352,0.041355688,0.06071411,0.03977639,0.059015583,7.4030709266676,4.5763535499587995,-84.12012481689,2.4346194,0.04394176,0.059505142,0.035039436,0.053495485,0.03443228,0.05124482,0.03619771,0.0555568,7.452117919922399,4.5153002738952,-85.18672943115,1.0097725,0.077614166,0.11579827,0.0814282,0.11507191,0.09116827,0.13489625,0.086395755,0.12714382,7.4139890670792,4.55136871338,-82.83432006836,3.6334937,0.08970217,0.1321902,0.08838067,0.124759376,0.08850183,0.13018306,0.08665266,0.12770613,7.4369316101076,4.5022444725024,-84.48804473877
624,105642,278.8006666667,-8.293825,89.0,0.87000000000012,0.09526105,0.005323139484972,0.01208086218685,0.005105631425977,0.007283485494554,0.005105631425977,0.007283485494554,7.4683794975264,4.4665684700004,-83.41716766357,2.1708834,0.04061178,0.060693838,0.03717913,0.053752128,0.040894486,0.059951257,0.038741738,0.054946188,7.3924350738516,4.5678462982164,-84.09112548828,7.413383,0.04031983,0.060851965,0.03997005,0.05708579,0.033081774,0.053987943,0.038476042,0.053881817,7.3632082939164,4.5399351120012,-84.17502593994,2.411779,0.07945879,0.11390046,0.07759542,0.113767184,0.08418544,0.11746119,0.08769519,0.12981527,7.373776912689601,4.5794563293456,-83.92577362061,8.633801,0.090756595,0.12578069,0.10011004,0.1458105,0.09024804,0.12718633,0.08080922,0.12438989,7.362877368927601,4.5064411163316,-83.82355499268
625,105657,278.4719583333,-8.119986111111,89.0,0.8799999999998399,0.25463954,0.01143664866686,0.02966383472085,0.01090848073363,0.01593375019729,0.01090848073363,0.01593375019729,7.296854972839199,4.5291013717644,-83.33039855957,5.163754,0.03978783,0.059388597,0.03750409,0.06123287,0.044439983,0.06493433,0.041201312,0.059586436,7.448007106782,4.5635337829584,-85.76175689697,16.340517,0.04909754,0.075330354,0.04091558,0.059647705,0.03707146,0.054063383,0.03405551,0.048581295,7.4602522850040005,4.4901170730576,-83.9079284668,5.3188787,0.07957613,0.11531244,0.08804943,0.12387686,0.070085146,0.10023015,0.08428261,0.123723656,7.4437499046312,4.5456032752992,-84.6036605835,19.472578,0.0872495,0.13009372,0.08566001,0.12536696,0.09185859,0.13460264,0.09322988,0.13059862,7.473763465880399,4.4901595115676,-83.79741668701
626,105803,278.7815,-8.245711111111,89.0,0.8799999999998399,0.029614538,0.002041177591309,0.004346197005361,0.001944061834365,0.003047165926546,0.001944061834365,0.003047165926546,7.2902441024784,4.4993658065796,-83.35059356689,1.0174729,0.03851018,0.056058146,0.0399497,0.059717465,0.041720424,0.05895815,0.0416485,0.062784255,7.3914732933048,4.5944614410408,-84.60771942139,1.7929418,0.042934433,0.06324867,0.08186951,0.13693635,0.04085577,0.05860944,0.036322653,0.054032847,7.4365167617784005,4.5133562088,-85.41485595703,1.243158,0.07637612,0.11057755,0.08197903,0.11958188,0.07864225,0.12531398,0.081927575,0.117705174,7.4222664833052,4.5557198524476,-84.10703277588,4.0564113,0.102762856,0.14797801,0.0898452,0.12671277,0.09290953,0.13467915,0.07979873,0.11561183,7.4306106567396,4.5002503395071995,-84.46758270264
627,105855,278.1448333333,-7.9019,89.0,0.8799999999998399,0.009038214,0.001138846739195,0.001876964233816,0.00108580396045,0.001604330260307,0.00108580396045,0.001604330260307,7.332728862762,4.5278429985036,-83.05833435059,0.5992887,0.046591617,0.06540171,0.034091633,0.051836003,0.039705105,0.057654772,0.038069177,0.056256063,7.4616508483884,4.5718169212332,-84.21227264404,3.3259897,0.047915004,0.07082526,0.036512494,0.057331577,0.03876288,0.059295066,0.044979826,0.06595709,7.4475040435776005,4.4922661781328,-84.33756256104,0.73593843,0.07479214,0.11529009,0.07919483,0.11484621,0.09001067,0.12631524,0.08220035,0.11803733,7.444040298462,4.565969944002,-83.90615844727,4.1579056,0.08722068,0.12705515,0.09245207,0.13350803,0.09276241,0.13218321,0.0798986,0.11426404,7.4563140869136,4.4949555397044,-84.18266296387
